
日期,产品,销售额,销售量
2024-01-01,电力造价管理系统V3.0,320000,4  
2024-01-01,电力设计协同平台Pro,240000,3   
2024-01-01,易数大数据分析平台,180000,2     
2024-01-01,电力管理工具集标准版,95000,5  
2024-01-02,电力造价管理系统V3.0,280000,3.5
2024-01-02,电力设计协同平台Pro,220000,2.75
2024-01-02,易数大数据分析平台,170000,1.89
2024-01-02,电力管理工具集标准版,88000,4.7
2024-01-03,电力造价管理系统V3.0,360000,4.5
2024-01-03,电力设计协同平台Pro,260000,3.25
2024-01-03,易数大数据分析平台,190000,2.11
2024-01-03,电力管理工具集标准版,102000,5.3
2024-01-04,电力造价管理系统V3.0,300000,3.75
2024-01-04,电力设计协同平台Pro,230000,2.88
2024-01-04,易数大数据分析平台,175000,1.94
2024-01-04,电力管理工具集标准版,92000,4.85
2024-01-05,电力造价管理系统V3.0,400000,5   
2024-01-05,电力设计协同平台Pro,320000,4 
2024-01-05,易数大数据分析平台,220000,2.44
2024-01-05,电力管理工具集标准版,110000,5.5
